cluster_postcode,entity_1_kvk,entity_1_name,entity_1_insolvency,entity_1_bankruptcy_date,entity_2_kvk,entity_2_name,entity_2_insolvency,entity_2_bankruptcy_date,shared_sbi_codes,signals,name_similarity
3584BN,53541294,Weststaete Spread Fund B.V.,F.16/15/435,2015-05-28,53541472,Weststaete Spread Fund Beheer B.V.,F.16/15/436,2015-05-28,,same_postcode;name_sim_0.86,0.86
3584BN,55796338,Weststaete Property Fund B.V.,F.16/15/446,2015-05-28,55796249,Weststaete Property Fund Funding B.V.,F.16/15/445,2015-05-28,64320,same_postcode;shared_sbi;name_sim_0.86,0.86
1072SB,34315353,SAM Recruitment Netherlands B.V.,F.13/25/48,2025-02-12,58510958,Ardekay Recruitment Netherlands B.V.,F.13/25/49,2025-02-12,78100,same_postcode;shared_sbi;name_sim_0.86,0.86
3825AL,34199007,Emergya Wind Technologies B.V.,F.16/25/136,2025-03-13,32163415,Emergya Wind Technologies Finance B.V.,F.16/25/304,2025-06-18,,same_postcode;name_sim_0.86,0.86
3825AL,73381438,EWT Directwind IP B.V.,F.16/25/170,2025-04-09,66894913,EWT Directwind NL2 B.V.,F.16/25/301,2025-06-18,,same_postcode;name_sim_0.86,0.86
3825AL,73381438,EWT Directwind IP B.V.,F.16/25/170,2025-04-09,64479072,EWT Directwind NL1 B.V.,F.16/25/298,2025-06-18,,same_postcode;name_sim_0.86,0.86
2977AM,24320587,Timmerfabriek Gebrs. Bos B.V.,F.10/25/151,2025-04-24,24320588,Timmerfabriek Gebrs. Bos Holding B.V.,F.10/25/157,2025-04-30,,same_postcode;name_sim_0.86,0.86
5531MB,76043126,TOM TMP B.V.,F.01/22/100,2022-07-20,76043134,TOM TWM B.V.,F.01/22/104,2022-07-20,,same_postcode;name_sim_0.86,0.86
7482NX,68557116,PlanBee B.V.,F.08/24/170,2024-06-13,74526650,PlanCee B.V.,F.08/24/173,2024-06-17,,same_postcode;name_sim_0.86,0.86
6129EL,14084638,Approba Executives B.V.,F.03/26/26,2026-01-28,14067432,Approba Executives Flecs B.V.,F.03/26/27,2026-01-28,"70201,70202,78100,78202",same_postcode;shared_sbi;name_sim_0.86,0.86
7451CH,38008847,OAD B.V.,F.08/13/817,2013-09-26,09089811,Orad B.V.,F.08/13/839,2013-09-27,,same_postcode;name_sim_0.86,0.86
2061CX,65669932,Homestock Online B.V.,F.15/22/81,2022-06-29,66168295,Homestock Holding B.V.,F.15/22/79,2022-06-29,,same_postcode;name_sim_0.85,0.85
5349AT,17214326,"""SAGITTARIUS"" PROPERTIES VI FINANCE B.V.",F.01/11/710,2011-10-05,17194885,"""SAGITTARIUS"" PROPERTIES V B.V.",F.01/11/709,2011-10-05,64210,same_postcode;shared_sbi;name_sim_0.85,0.85
5349AT,17214326,"""SAGITTARIUS"" PROPERTIES VI FINANCE B.V.",F.01/11/710,2011-10-05,17214957,SAGITTARIUS PROPERTIES VII B.V.,F.01/18/351,2018-12-24,,same_postcode;name_sim_0.85,0.85
3436ZZ,70362726,Ontzorgd Wonen Groep B.V.,F.16/21/262,2021-11-30,74851896,Ontzorgd Wonen Groep Horeca B.V.,F.16/22/79,2022-04-01,,same_postcode;name_sim_0.85,0.85
3436ZZ,30187773,European Care Residence and Hotel De Horst B.V.,F.16/22/67,2022-03-23,58842039,European Care Residence and Hotel Solace B.V.,F.16/22/68,2022-03-23,,same_postcode;name_sim_0.85,0.85
8448JB,02070980,Business Imaging Solutions B.V.,F.18/13/462,2013-12-24,01157383,Business Imaging Solutions Services B.V.,F.18/13/463,2013-12-24,46500,same_postcode;shared_sbi;name_sim_0.85,0.85
7559SW,12066966,Solinox Fabriekswinkel Venlo B.V.,F.08/23/30,2023-02-08,09176409,Solinox Fabriekswinkel Nijmegen B.V.,F.08/23/29,2023-02-08,,same_postcode;name_sim_0.85,0.85
7559SW,12066966,Solinox Fabriekswinkel Venlo B.V.,F.08/23/30,2023-02-08,20143402,Solinox Fabriekswinkel Roosendaal B.V.,F.08/23/31,2023-02-08,,same_postcode;name_sim_0.85,0.85
5231DC,17213575,Certitudo Residential Growth Fund B.V.,F.01/23/251,2023-09-20,66131871,Certitudo Retail Growth Fund B.V.,F.01/23/281,2023-10-02,,same_postcode;name_sim_0.85,0.85
5231DC,71166610,Certitudo Property XXXVIII B.V.,F.01/23/370,2023-11-29,70982465,Certitudo Property XXXIV B.V,F.01/23/402,2023-12-20,,same_postcode;name_sim_0.85,0.85
5231DC,71166610,Certitudo Property XXXVIII B.V.,F.01/23/370,2023-11-29,33179703,Certitudo Property XL B.V.,F.01/24/18,2024-01-10,,same_postcode;name_sim_0.85,0.85
1271AH,32005254,BN International B.V.,F.13/23/346,2023-11-30,59026804,CWC International B.V.,F.13/24/149,2024-04-17,,same_postcode;name_sim_0.85,0.85
2900AA,65184599,Didacticum Holding B.V.,F.10/24/84,2024-02-28,24293734,Didacticum Opleidingen B.V.,F.10/24/99,2024-03-12,,same_postcode;name_sim_0.85,0.85
1014AS,67354025,Boxx Opslagverhuur Diemen B.V.,F.13/24/156,2024-04-25,67354076,Boxx Opslagverhuur Schiedam B.V.,F.13/24/206,2024-05-29,,same_postcode;name_sim_0.85,0.85
1014AS,64887324,Boxx Opslagverhuur Amsterdam Zuid-Oost B.V.,F.13/24/204,2024-05-29,57558078,Boxx Opslagverhuur Amsterdam Zaanstad B.V.,F.13/24/209,2024-06-03,68203,same_postcode;shared_sbi;name_sim_0.85,0.85
1014AS,82811431,Boxx Opslagverhuur Almere B.V.,F.13/24/203,2024-05-29,88486702,Boxx Opslagverhuur Amstelveen B.V.,F.13/24/211,2024-06-03,68203,same_postcode;shared_sbi;name_sim_0.85,0.85
1014AS,82811431,Boxx Opslagverhuur Almere B.V.,F.13/24/203,2024-05-29,65006550,Boxx Opslagverhuur Amersfoort B.V.,F.13/24/214,2024-06-03,68203,same_postcode;shared_sbi;name_sim_0.85,0.85
7325DZ,82778728,Comfort Projectontwikkeling Gouda B.V.,F.05/23/200,2023-06-21,86478826,Comfort Projectontwikkeling Geldermalsen B.V.,F.05/23/304,2023-08-28,,same_postcode;name_sim_0.85,0.85
2993LV,51021455,Flinter Arctic N.V.,F.10/16/559,2016-11-10,51923939,Flinter Atlantic N.V.,F.10/16/663,2016-12-16,,same_postcode;name_sim_0.85,0.85
1012TL,52535274,The Hospitalitist B.V.,F.13/24/483,2024-11-20,86886053,The Hospitalitist Group B.V.,F.13/24/482,2024-11-20,,same_postcode;name_sim_0.85,0.85
1211JV,67879071,Dansschool De Winter Sport B.V.,F.16/24/551,2024-12-11,67879098,Zwemschool De Winter Sport B.V.,F.16/24/555,2024-12-17,,same_postcode;name_sim_0.85,0.85
3584BN,53541197,Weststaete Spread Fund Funding B.V.,F.16/15/434,2015-05-28,53541294,Weststaete Spread Fund B.V.,F.16/15/435,2015-05-28,"64310,64923,68110,68320",same_postcode;shared_sbi;name_sim_0.85,0.85
5141HA,17264507,RAW Footwear B.V.,F.02/24/91,2024-03-01,27311957,Rehab Footwear B.V.,F.02/24/105,2024-03-07,,same_postcode;name_sim_0.85,0.85
2441LC,75744554,Green World Mobility B.V.,F.09/25/54,2025-02-26,76963578,Green World Mobility Retail B.V.,F.09/25/58,2025-02-26,,same_postcode;name_sim_0.85,0.85
7511ER,70438986,Stanislaus Brewskovitch Holding B.V.,F.08/25/346,2025-12-31,90233077,Stanislaus Brewskovitch Horeca B.V.,F.08/25/347,2025-12-31,,same_postcode;name_sim_0.85,0.85
9936HT,02332220,Schipper Recycling Blijham B.V.,F.18/19/125,2019-07-17,02319058,Schipper Holding Blijham B.V.,F.18/19/130,2019-07-31,,same_postcode;name_sim_0.84,0.84
5317NR,82542252,Hoogveld Transport Rosmalen Schade B.V.,F.01/22/192,2022-12-14,82542015,Hoogveld Transport Rosmalen Vervoer B.V.,F.01/22/193,2022-12-14,,same_postcode;name_sim_0.84,0.84
2132WT,70068437,Garage Exploitatie Valet B.V.,F.13/20/58,2020-02-24,58147055,Garage Exploitatie Shuttle B.V.,F.13/20/61,2020-02-24,,same_postcode;name_sim_0.84,0.84
3543AC,52604535,Top-Line Fashion B.V.,F.16/23/321,2023-08-23,30194792,VI-LINE FASHION B.V.,F.16/23/325,2023-08-23,,same_postcode;name_sim_0.84,0.84
3543AC,30220545,Pcs-Line Fashion B.V.,F.16/23/324,2023-08-23,30194792,VI-LINE FASHION B.V.,F.16/23/325,2023-08-23,,same_postcode;name_sim_0.84,0.84
5231DC,17154314,Certitudo Properties B.V.,F.01/23/338,2023-11-01,70298084,Certitudo Property XXXI B.V.,F.01/23/394,2023-12-20,,same_postcode;name_sim_0.84,0.84
5231DC,66561043,Certitudo Property XIX B.V.,F.01/23/358,2023-11-15,70982465,Certitudo Property XXXIV B.V,F.01/23/402,2023-12-20,,same_postcode;name_sim_0.84,0.84
5231DC,71794115,Certitudo Offices III C.V.,F.01/23/396,2023-12-20,67210805,Certitudo Offices I B.V.,F.01/24/15,2024-01-10,,same_postcode;name_sim_0.84,0.84
5231DC,74346989,Certitudo Amsterdam City II Partner I B.V.,F.01/24/159,2024-04-17,72413840,Certitudo Amsterdam City II B.V.,F.01/24/279,2024-07-10,,same_postcode;name_sim_0.84,0.84
6116AH,08134602,Nieuwe Borg Ontwikkeling I B.V.,F.03/14/124,2014-04-08,13041055,Nieuwe Borg Projectontwikkeling B.V.,F.04/14/55,2014-02-26,,same_postcode;name_sim_0.84,0.84
6116AH,14090964,NBO Project I B.V.,F.03/14/305,2014-08-05,14130163,NBO Project XXXVII,F.03/14/174,2014-05-02,68120,same_postcode;shared_sbi;name_sim_0.84,0.84
2914ET,82857180,Zuidplas Care Zorg B.V.,F.09/23/100,2023-04-19,75277107,Zuidplas Care B.V.,F.09/23/99,2023-04-19,86942,same_postcode;shared_sbi;name_sim_0.84,0.84
1014AS,67354025,Boxx Opslagverhuur Diemen B.V.,F.13/24/156,2024-04-25,82811431,Boxx Opslagverhuur Almere B.V.,F.13/24/203,2024-05-29,,same_postcode;name_sim_0.84,0.84
1014AS,57558078,Boxx Opslagverhuur Amsterdam Zaanstad B.V.,F.13/24/209,2024-06-03,69398208,Boxx Opslagverhuur Amsterdam Sloterdijk B.V.,F.13/24/212,2024-06-03,68203,same_postcode;shared_sbi;name_sim_0.84,0.84
1014AS,57558078,Boxx Opslagverhuur Amsterdam Zaanstad B.V.,F.13/24/209,2024-06-03,64889467,Boxx Opslagverhuur Amsterdam WFC B.V.,F.13/24/230,2024-06-06,68203,same_postcode;shared_sbi;name_sim_0.84,0.84
7325DZ,72947225,Comfort Projectontwikkeling B.V.,F.05/23/208,2023-06-26,85833754,Comfort Projectontwikkeling Terneuzen B.V.,F.05/23/303,2023-08-28,,same_postcode;name_sim_0.84,0.84
6662NS,09064146,Lion International B.V.,F.05/24/544,2024-12-25,55555381,Lion International Retail B.V.,F.05/24/548,2024-12-25,,same_postcode;name_sim_0.84,0.84
7943PG,85298603,AMSLOD XIX B.V.,F.18/25/16,2025-01-08,82135770,AMSLOD XV B.V.,F.18/25/12,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,85298603,AMSLOD XIX B.V.,F.18/25/16,2025-01-08,74298283,AMSLOD VI B.V.,F.18/25/3,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,85298603,AMSLOD XIX B.V.,F.18/25/16,2025-01-08,73990388,AMSLOD IV B.V.,F.18/25/35,2025-01-10,,same_postcode;name_sim_0.84,0.84
7943PG,71510249,Amslod I B.V.,F.18/25/1,2025-01-08,84395893,AMSLOD XVII B.V.,F.18/25/14,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,71510249,Amslod I B.V.,F.18/25/1,2025-01-08,80992439,AMSLOD XIII B.V.,F.18/25/10,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,71510249,Amslod I B.V.,F.18/25/1,2025-01-08,77952782,AMSLOD VIII B.V.,F.18/25/5,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,82133980,AMSLOD XIV B.V.,F.18/25/11,2025-01-08,77953479,AMSLOD IX B.V.,F.18/25/6,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,82133980,AMSLOD XIV B.V.,F.18/25/11,2025-01-08,74298283,AMSLOD VI B.V.,F.18/25/3,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,82509492,AMSLOD XVI B.V.,F.18/25/13,2025-01-08,77953479,AMSLOD IX B.V.,F.18/25/6,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,82509492,AMSLOD XVI B.V.,F.18/25/13,2025-01-08,73990388,AMSLOD IV B.V.,F.18/25/35,2025-01-10,,same_postcode;name_sim_0.84,0.84
7943PG,84395893,AMSLOD XVII B.V.,F.18/25/14,2025-01-08,78130646,AMSLOD X B.V.,F.18/25/7,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,84395893,AMSLOD XVII B.V.,F.18/25/14,2025-01-08,74298348,AMSLOD V B.V.,F.18/25/2,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,82135770,AMSLOD XV B.V.,F.18/25/12,2025-01-08,77392574,AMSLOD VII B.V.,F.18/25/4,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,82135770,AMSLOD XV B.V.,F.18/25/12,2025-01-08,80992269,AMSLOD XII B.V.,F.18/25/9,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,80992439,AMSLOD XIII B.V.,F.18/25/10,2025-01-08,78130646,AMSLOD X B.V.,F.18/25/7,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,77392574,AMSLOD VII B.V.,F.18/25/4,2025-01-08,78317843,AMSLOD XI B.V.,F.18/25/8,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,77392574,AMSLOD VII B.V.,F.18/25/4,2025-01-08,77953479,AMSLOD IX B.V.,F.18/25/6,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,77392574,AMSLOD VII B.V.,F.18/25/4,2025-01-08,73990388,AMSLOD IV B.V.,F.18/25/35,2025-01-10,,same_postcode;name_sim_0.84,0.84
7943PG,78317843,AMSLOD XI B.V.,F.18/25/8,2025-01-08,70771006,AMSLOD III B.V.,F.18/25/34,2025-01-10,,same_postcode;name_sim_0.84,0.84
7943PG,77953479,AMSLOD IX B.V.,F.18/25/6,2025-01-08,80992269,AMSLOD XII B.V.,F.18/25/9,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,77953479,AMSLOD IX B.V.,F.18/25/6,2025-01-08,70771006,AMSLOD III B.V.,F.18/25/34,2025-01-10,,same_postcode;name_sim_0.84,0.84
7943PG,77952782,AMSLOD VIII B.V.,F.18/25/5,2025-01-08,74298348,AMSLOD V B.V.,F.18/25/2,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,74298283,AMSLOD VI B.V.,F.18/25/3,2025-01-08,80992269,AMSLOD XII B.V.,F.18/25/9,2025-01-08,,same_postcode;name_sim_0.84,0.84
7943PG,74298283,AMSLOD VI B.V.,F.18/25/3,2025-01-08,70771006,AMSLOD III B.V.,F.18/25/34,2025-01-10,,same_postcode;name_sim_0.84,0.84
7943PG,80992269,AMSLOD XII B.V.,F.18/25/9,2025-01-08,73990388,AMSLOD IV B.V.,F.18/25/35,2025-01-10,,same_postcode;name_sim_0.84,0.84
7943PG,70771006,AMSLOD III B.V.,F.18/25/34,2025-01-10,73990388,AMSLOD IV B.V.,F.18/25/35,2025-01-10,,same_postcode;name_sim_0.84,0.84
3584BN,53541472,Weststaete Spread Fund Beheer B.V.,F.16/15/436,2015-05-28,55796028,Weststaete Property Fund Beheer I B.V.,F.16/15/443,2015-05-28,,same_postcode;name_sim_0.84,0.84
3584BN,55796338,Weststaete Property Fund B.V.,F.16/15/446,2015-05-28,55796028,Weststaete Property Fund Beheer I B.V.,F.16/15/443,2015-05-28,,same_postcode;name_sim_0.84,0.84
6031RV,77939883,Ernst Adviesgroep Zuid B.V.,F.08/25/131,2025-05-22,88896986,Ernst Adviesgroep Noord B.V.,F.08/25/134,2025-05-26,,same_postcode;name_sim_0.84,0.84
2632BD,27362773,Pastelle Holding B.V.,F.09/25/34,2025-02-12,76841332,Pastelle Online B.V.,F.09/25/38,2025-02-12,,same_postcode;name_sim_0.84,0.84
5653LC,67948340,Acuut Zorggroep Venlo B.V.,F.01/22/23,2022-02-02,67948359,Acuut Zorggroep Senioren B.V.,F.01/22/25,2022-02-02,,same_postcode;name_sim_0.84,0.84
5011LP,17216359,Sportinstituut Ooms/Wagner B.V.,F.02/15/52,2015-02-06,18072722,Sportinstituut Ooms B.V.,F.02/15/53,2015-02-06,,same_postcode;name_sim_0.84,0.84
2514CC,90112113,Elements of Freedom Retail B.V.,F.13/24/408,2024-09-26,34203913,Elements of Freedom B.V.,F.13/24/402,2024-09-25,,same_postcode;name_sim_0.84,0.84
7451PT,84080698,Uw Specialist B.V.,F.08/25/236,2025-09-11,92624286,Uw Game Specialist B.V.,F.08/25/237,2025-09-11,"46499,47120",same_postcode;shared_sbi;name_sim_0.84,0.84
5504RA,94241465,Slaats Boomverzorging B.V.,F.01/25/325,2025-12-03,94235783,Slaats Boomverzorging Holding B.V.,F.01/25/326,2025-12-03,,same_postcode;name_sim_0.84,0.84
5349AT,17214326,"""SAGITTARIUS"" PROPERTIES VI FINANCE B.V.",F.01/11/710,2011-10-05,17213056,SAGITTARIUS PROPERTIES VI B.V.,F.01/11/811,2011-11-02,64210,same_postcode;shared_sbi;name_sim_0.83,0.83
3542CE,30148865,Landis Group N.V.,F.16/02/238,2007-01-25,30106541,Landis Group B.V.,F.16/02/239,2007-01-25,,same_postcode;name_sim_0.83,0.83
3436ZZ,51840952,European Care Residence and Hotel Sibelius B.V.,F.16/22/1,2022-01-05,30187773,European Care Residence and Hotel De Horst B.V.,F.16/22/67,2022-03-23,,same_postcode;name_sim_0.83,0.83
3436ZZ,30090587,European Care Residences Hotels and Resorts (ECR) B.V.,F.16/21/292,2021-12-29,30209557,European Care Residence Hotel and Resort Groot Stokkert B.V.,F.16/22/64,2022-03-23,,same_postcode;name_sim_0.83,0.83
3436ZZ,58842039,European Care Residence and Hotel Solace B.V.,F.16/22/68,2022-03-23,30178524,European Care Residence and Hotel De Keizershof B.V.,F.16/22/69,2022-03-23,,same_postcode;name_sim_0.83,0.83
1327HA,34023870,New Office Centre Beheer B.V.,F.16/22/45,2022-03-02,70803927,New Office Centre B.V.,F.16/22/44,2022-03-02,,same_postcode;name_sim_0.83,0.83
5317NR,82538077,Hoogveld Transport Rosmalen Holding B.V.,F.01/22/191,2022-12-14,82542015,Hoogveld Transport Rosmalen Vervoer B.V.,F.01/22/193,2022-12-14,,same_postcode;name_sim_0.83,0.83
5317NR,82538077,Hoogveld Transport Rosmalen Holding B.V.,F.01/22/191,2022-12-14,82541981,Hoogveld Transport Rosmalen Activia B.V.,F.01/22/194,2022-12-14,,same_postcode;name_sim_0.83,0.83
5317NR,82542015,Hoogveld Transport Rosmalen Vervoer B.V.,F.01/22/193,2022-12-14,82541981,Hoogveld Transport Rosmalen Activia B.V.,F.01/22/194,2022-12-14,,same_postcode;name_sim_0.83,0.83
2132WT,70059454,Garage Exploitatie A&S B.V.,F.13/20/57,2020-02-24,58147055,Garage Exploitatie Shuttle B.V.,F.13/20/61,2020-02-24,,same_postcode;name_sim_0.83,0.83
7559SW,09171938,Solinox Fabriekswinkel Doetinchem B.V.,F.08/23/25,2023-02-08,20140923,Solinox Fabriekswinkel Goes B.V.,F.08/23/24,2023-02-08,,same_postcode;name_sim_0.83,0.83
7559SW,20140923,Solinox Fabriekswinkel Goes B.V.,F.08/23/24,2023-02-08,20143402,Solinox Fabriekswinkel Roosendaal B.V.,F.08/23/31,2023-02-08,,same_postcode;name_sim_0.83,0.83
7559SW,17228203,Solinox Fabriekswinkel Uden B.V.,F.08/23/28,2023-02-08,20143402,Solinox Fabriekswinkel Roosendaal B.V.,F.08/23/31,2023-02-08,,same_postcode;name_sim_0.83,0.83
4338PR,52531376,TCR-AML Voertuigen B.V.,F.02/20/64,2020-02-12,56580495,TCR SAN Voertuigen B.V.,F.02/20/65,2020-02-12,,same_postcode;name_sim_0.83,0.83
5041SC,74358162,Buro Nexus Midden-Nederland B.V.,F.02/23/92,2023-04-19,69723508,Buro Nexus Noord-Nederland B.V.,F.02/23/91,2023-04-19,"78100,78202",same_postcode;shared_sbi;name_sim_0.83,0.83
5231DC,17154314,Certitudo Properties B.V.,F.01/23/338,2023-11-01,65412540,Certitudo Property XV B.V.,F.01/23/374,2023-11-29,,same_postcode;name_sim_0.83,0.83
5231DC,17154314,Certitudo Properties B.V.,F.01/23/338,2023-11-01,33179703,Certitudo Property XL B.V.,F.01/24/18,2024-01-10,,same_postcode;name_sim_0.83,0.83
5231DC,68893094,Certitudo Amsterdam City I B.V.,F.01/23/351,2023-11-14,74346989,Certitudo Amsterdam City II Partner I B.V.,F.01/24/159,2024-04-17,,same_postcode;name_sim_0.83,0.83
5231DC,83975411,Certitudo Offices IV C.V.,F.01/23/356,2023-11-15,71767304,Certitudo Offices III B.V.,F.01/23/377,2023-12-06,,same_postcode;name_sim_0.83,0.83
5231DC,61927724,Certitudo Apeldoorn City B.V.,F.01/23/364,2023-11-22,66411246,Certitudo Capelle City B.V.,F.01/23/371,2023-11-29,,same_postcode;name_sim_0.83,0.83
5231DC,74346938,Certitudo Amsterdam City II Partner II B.V.,F.01/24/160,2024-04-17,72413840,Certitudo Amsterdam City II B.V.,F.01/24/279,2024-07-10,,same_postcode;name_sim_0.83,0.83
6116AH,14130159,NBP Project XXII B.V.,F.03/14/175,2014-05-02,14090964,NBO Project I B.V.,F.03/14/305,2014-08-05,68120,same_postcode;shared_sbi;name_sim_0.83,0.83
1014AS,67354025,Boxx Opslagverhuur Diemen B.V.,F.13/24/156,2024-04-25,67353983,Boxx Opslagverhuur Breukelen B.V.,F.13/24/221,2024-06-05,,same_postcode;name_sim_0.83,0.83
1014AS,64887324,Boxx Opslagverhuur Amsterdam Zuid-Oost B.V.,F.13/24/204,2024-05-29,64889467,Boxx Opslagverhuur Amsterdam WFC B.V.,F.13/24/230,2024-06-06,68203,same_postcode;shared_sbi;name_sim_0.83,0.83
1014AS,82811431,Boxx Opslagverhuur Almere B.V.,F.13/24/203,2024-05-29,85950785,Boxx Opslagverhuur Almere Omroepweg B.V.,F.13/24/213,2024-06-03,"64210,68203",same_postcode;shared_sbi;name_sim_0.83,0.83
6466NG,84661038,Lumex Projects B.V.,F.03/24/40,2024-03-05,84662220,Stamex Projects B.V.,F.03/24/41,2024-03-05,25120,same_postcode;shared_sbi;name_sim_0.83,0.83
7325DZ,82778728,Comfort Projectontwikkeling Gouda B.V.,F.05/23/200,2023-06-21,85833754,Comfort Projectontwikkeling Terneuzen B.V.,F.05/23/303,2023-08-28,,same_postcode;name_sim_0.83,0.83
7325DZ,86478826,Comfort Projectontwikkeling Geldermalsen B.V.,F.05/23/304,2023-08-28,85833754,Comfort Projectontwikkeling Terneuzen B.V.,F.05/23/303,2023-08-28,,same_postcode;name_sim_0.83,0.83
2993LV,51021455,Flinter Arctic N.V.,F.10/16/559,2016-11-10,53843967,Flinter Tide N.V.,F.10/16/662,2016-12-16,,same_postcode;name_sim_0.83,0.83
2993LV,53846753,Flinter Rose N.V.,F.10/16/560,2016-11-10,53982770,Flinter Trader N.V.,F.10/16/661,2016-12-16,,same_postcode;name_sim_0.83,0.83
7559SC,83248862,Koolen Industries Products Group B.V.,F.08/24/302,2024-09-23,83324542,Koolen Industries Products Engineering B.V.,F.08/24/308,2024-09-23,,same_postcode;name_sim_0.83,0.83
2172HV,80908926,De KoffieMeulen Lisse B.V.,F.09/24/348,2024-09-18,65840135,De Koffiemeulen B.V.,F.09/24/347,2024-09-18,,same_postcode;name_sim_0.83,0.83
3088GB,94622957,Opticom Thermo Logistics B.V.,F.10/25/332,2025-09-03,91857759,Opticom Logistics B.V.,F.10/25/334,2025-09-03,49410,same_postcode;shared_sbi;name_sim_0.83,0.83
1012NZ,88189287,Amarla BBW NL B.V.,F.13/23/236,2023-08-08,87631938,Amarla BBW Sales B.V.,F.13/23/235,2023-08-08,,same_postcode;name_sim_0.83,0.83
3197LE,66887909,Hooymeijer SSC B.V.,F.10/24/499,2024-12-25,24252333,Hooymeijer B.V.,F.10/24/497,2024-12-25,,same_postcode;name_sim_0.83,0.83
4811LW,67446361,Zappix B.V.,F.02/25/6,2025-01-08,82828970,Happix B.V.,F.02/25/5,2025-01-08,,same_postcode;name_sim_0.83,0.83
3584BN,51953552,Weststaete Funding B.V.,F.16/15/431,2015-05-28,50055240,Weststaete Holding B.V.,F.16/15/423,2015-05-28,,same_postcode;name_sim_0.83,0.83
3584BN,54623006,Weststaete Residential Fund Funding B.V.,F.16/15/439,2015-05-28,53541197,Weststaete Spread Fund Funding B.V.,F.16/15/434,2015-05-28,"64310,64923,68110,68320",same_postcode;shared_sbi;name_sim_0.83,0.83
3584BN,53541294,Weststaete Spread Fund B.V.,F.16/15/435,2015-05-28,55796338,Weststaete Property Fund B.V.,F.16/15/446,2015-05-28,,same_postcode;name_sim_0.83,0.83
3584BN,53541472,Weststaete Spread Fund Beheer B.V.,F.16/15/436,2015-05-28,55796168,Weststaete Property Fund Beheer II B.V.,F.16/15/444,2015-05-28,,same_postcode;name_sim_0.83,0.83
3584BN,53541472,Weststaete Spread Fund Beheer B.V.,F.16/15/436,2015-05-28,54623197,Weststaete Residential Fund Beheer B.V.,F.16/15/442,2015-05-28,,same_postcode;name_sim_0.83,0.83
3584BN,55796338,Weststaete Property Fund B.V.,F.16/15/446,2015-05-28,55796168,Weststaete Property Fund Beheer II B.V.,F.16/15/444,2015-05-28,,same_postcode;name_sim_0.83,0.83
6131AC,76551326,DiederWorx B.V.,F.03/25/99,2025-04-16,91211859,DiederWorx ZZP B.V.,F.03/25/100,2025-04-16,,same_postcode;name_sim_0.83,0.83
7772TS,65811623,De Interieurbouwers Holding B.V.,F.08/25/125,2025-05-15,70337535,De Interieurbouwers B.V.,F.08/25/114,2025-04-30,,same_postcode;name_sim_0.83,0.83
2316XG,28113594,Liquidseal Products B.V.,F.09/25/210,2025-06-25,64385582,Liquidseal Fruits B.V.,F.09/25/211,2025-06-25,,same_postcode;name_sim_0.83,0.83
5653LC,67948340,Acuut Zorggroep Venlo B.V.,F.01/22/23,2022-02-02,50711318,Acuut Zorggroep B.V.,F.01/22/20,2022-02-02,,same_postcode;name_sim_0.83,0.83
5141HA,62037080,Unlimited Footwear Midco B.V.,F.02/24/80,2024-02-29,62038230,Unlimited Footwear Group B.V.,F.02/24/86,2024-02-29,,same_postcode;name_sim_0.83,0.83
7511ER,90233077,Stanislaus Brewskovitch Horeca B.V.,F.08/25/347,2025-12-31,90229886,Stanislaus Brewskovitch Events B.V.,F.08/25/348,2025-12-31,,same_postcode;name_sim_0.83,0.83
4817MV,62750615,OL Holding B.V.,F.02/23/16,2023-01-25,66590442,OLBUWI Holding B.V.,F.02/23/15,2023-01-25,,same_postcode;name_sim_0.83,0.83
6161DA,14079295,AHA Kwadraat C.V.,F.03/24/280,2024-11-20,14631186,AHA Kwadraat B.V.,F.03/24/281,2024-11-20,,same_postcode;name_sim_0.83,0.83
6522EW,85519308,ROSTIG B.V.,S.16/26/2,2026-01-14,85519308,RØSTIG B.V.,F.05/26/33,2026-01-29,"47789,55300",same_postcode;shared_sbi;name_sim_0.83,0.83
6522EW,85519308,ROSTIG B.V.,S.05/26/1,2026-01-14,85519308,RØSTIG B.V.,F.05/26/33,2026-01-29,"47789,55300",same_postcode;shared_sbi;name_sim_0.83,0.83
